DEU,GBR,NLD,ESP
10.2502002716064,5.34969997406006,5.00239992141724,8.45219993591309
8.65830039978027,5.26200008392334,4.15269994735718,8.23209953308105
7.52449989318848,5.61499977111816,3.65420007705688,11.2545003890991
7.74160003662109,7.53730010986328,4.34700012207031,17.8567008972168
6.96640014648438,7.78660011291504,4.98899984359741,19.8596992492676
5.82439994812012,8.03769969940186,4.97730016708374,21.3904991149902
5.37939977645874,7.8846001625061,5.82089996337891,24.7872009277344
5.23059988021851,7.52419996261597,7.24300003051758,26.093599319458
4.98059988021851,6.10960006713867,7.41580009460449,24.4412994384766
4.62419986724854,5.30030012130737,6.87200021743774,22.057300567627
